# Title : in situ observations catalog
# Description : catalog of available in situ observations per platform.
# Project : Copernicus
# Format version : 1.0
# Date of update : 20170911094018
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,provider,date_update,data_mode,parameters
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_LTCG.nc,40.9949,40.9949,39.7822,39.7822,2012-01-01T06:20:00Z,2017-07-27T23:50:00Z,Unknown institution,2017-08-01T11:53:12Z,R,DEPH ATMS DRYT DEWT WSPD WDIR GSPD RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Mangalia.nc,43.8014,43.8014,28.5952,28.5952,2015-11-01T00:00:00Z,2017-07-30T03:02:45Z,Joint Research Centre(Europe) National institute for Earth Physics(Romania),2017-08-02T00:04:13Z,R,DEPH SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Pomorie.nc,42.551,42.551,27.639,27.639,2011-03-09T13:46:00Z,2017-04-26T15:07:00Z,Institute of Oceanology-BAS Varna,2017-08-02T05:54:58Z,R,DEPH TEMP PSAL SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Shkorpilovtsi.nc,42.958,42.958,27.899,27.899,2012-06-27T12:15:00Z,2016-08-31T23:45:00Z,Institute of Oceanology-BAS Varna,2017-03-04T14:55:37Z,R,DEPH TEMP SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Sinop.nc,42.0167,42.0167,35.15,35.15,2015-11-01T00:00:00Z,2017-07-30T03:02:45Z,Kandilli Observatory and Earthquake Research Institute (Turkey),2017-08-02T00:10:57Z,R,DEPH SLEV
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_UGSB.nc,41.6333,41.6333,41.6,41.6,2012-01-01T00:30:00Z,2017-07-02T23:30:00Z,Unknown institution,2017-08-01T12:27:58Z,R,DEPH ATMS DRYT DEWT WSPD WDIR GSPD RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_UKOO.nc,46.4333,46.4333,30.7667,30.7667,2012-01-01T00:00:00Z,2017-07-26T23:47:00Z,Unknown institution,2017-08-01T12:02:24Z,R,DEPH ATMS DRYT DEWT WSPD WDIR GSPD RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_URKA.nc,44.8833,44.8833,37.2833,37.2833,2012-01-01T00:00:00Z,2017-07-04T05:30:00Z,Unknown institution,2017-08-01T12:11:24Z,R,DEPH ATMS DRYT DEWT WSPD WDIR GSPD RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_URSS.nc,43.4333,43.4333,39.9,39.9,2012-01-01T00:00:00Z,2017-07-03T23:30:00Z,Unknown institution,2017-08-01T12:19:11Z,R,DEPH ATMS DRYT DEWT WSPD WDIR GSPD RELH
MYO-BLACKSEA-01,ftp://vftpmo.io-bas.bg/Core/INSITU_BS_NRT_OBSERVATIONS_013_034/history/mooring/BS_TS_MO_Varna.nc,43.192,43.192,27.911,27.911,2013-05-01T00:00:00Z,2017-07-05T14:46:00Z,Institute of Oceanology-BAS Varna,2017-08-02T07:00:56Z,R,DEPH SLEV
